DOI,DownloadStatus,Filename,URL,DownloadURL,SIDownloadStatus,SIFilename,HTMLFilename,HTMLFile# rsc,HTMLFile
10.1039/d5tb02579f,,,,,,,,,/Users/fjm/Code/AutoPaperdownload/html/pubs.rsc.org_paper_1.txt
10.1016/j.bioactmat.2026.01.007,,,,,,,,,
10.1021/acsnano.5c19138,,,,,,,,,
10.1016/j.omtm.2025.101578,,,,,,,,,
10.1016/j.jconrel.2026.114640,,,,,,,,,
10.1002/smll.202511381,,,,,,,,,
10.1002/anie.202519216,,,,,,,,,
10.1021/acs.langmuir.5c05504,,,,,,,,,
10.1002/smsc.202500506,,,,,,,,,
10.1002/anie.202523579,,,,,,,,,
10.1002/adma.202519473,,,,,,,,,
10.1016/j.colsurfb.2025.115402,,,,,,,,,
10.1021/acsnano.5c11352,,,,,,,,,
10.1016/j.omtn.2025.102699,,,,,,,,,
10.1016/j.omtn.2025.102735,,,,,,,,,
10.3390/ijms262411960,,,,,,,,,
10.1016/j.virusres.2025.199682,,,,,,,,,
10.1002/adhm.202503238,,,,,,,,,
10.1016/j.jconrel.2025.114569,,,,,,,,,
10.3390/nano15241844,,,,,,,,,
10.1002/adhm.202504363,,,,,,,,,
10.1038/s41541-025-01349-w,,,,,,,,,
10.1016/j.retram.2025.103563,,,,,,,,,
10.1016/j.bbrc.2025.153155,,,,,,,,,
10.1016/j.vaccine.2025.128136,,,,,,,,,
10.1021/acsnano.5c17445,,,,,,,,,
10.1038/s41551-025-01577-4,,,,,,,,,
10.1021/acs.jctc.5c01207,,,,,,,,,
10.1186/s12951-025-03895-w,,,,,,,,,
10.1039/d5ob01888a,,,,,,,,,
10.1016/j.omtn.2025.102773,,,,,,,,,
10.1038/s41467-025-66087-y,,,,,,,,,
10.1016/j.omtn.2025.102697,,,,,,,,,
10.1002/adma.202509471,,,,,,,,,
10.1038/s41467-025-67331-1,,,,,,,,,
10.3389/fimmu.2025.1693674,,,,,,,,,
10.1021/jacs.5c16121,,,,,,,,,
10.1007/s00204-025-04252-4,,,,,,,,,
10.1016/j.aca.2025.344852,,,,,,,,,
10.1002/adfm.75490,,,,,,,,,
10.1007/s13346-025-01824-w,,,,,,,,,/Users/fjm/Code/AutoPaperdownload/html/link.springer.com_paper_1.txt
10.1039/d5tb02579f,Success,10.1039_d5tb02579f_pdf.pdf,,https://pubs.rsc.org/en/content/articlepdf/2026/tb/d5tb02579f,,,,,/Users/fjm/Code/AutoPaperdownload/html/pubs.rsc.org_paper_1.txt
10.1007/s13346-025-01824-w,Success,10.1007_s13346-025-01824-w_pdf.pdf,,https://link.springer.com/content/pdf/10.1007/s13346-025-01824-w_reference.pdf,,,,,/Users/fjm/Code/AutoPaperdownload/html/link.springer.com_paper_1.txt
10.1080/17435889.2025.2587715,,,,,,,,,
10.1021/jacs.6c00080,,,,,,,,,
10.1002/adfm.75490,,,,,,,,,
10.1038/s41565-025-01958-5,,,,,,,,,
