doi,url
10.1016/j.jconrel.2026.114870,https://linkinghub.elsevier.com/retrieve/pii/S0168365926002725
10.3390/membranes16030089,https://www.mdpi.com/2077-0375/16/3/89
10.2147/IJN.S577606,https://www.dovepress.com/intraperitoneal-co-delivery-of-claudin18241bb-and-epcamcd3-bispecific--peer-reviewed-fulltext-article-IJN
10.1177/10430342251412392,https://journals.sagepub.com/doi/10.1177/10430342251412392
10.1016/j.vaccine.2026.128515,https://linkinghub.elsevier.com/retrieve/pii/S0264410X26003233
10.1002/advs.202521507,https://advanced.onlinelibrary.wiley.com/doi/10.1002/advs.202521507
10.1039/d6tb00052e,https://pubs.rsc.org/en/content/articlelanding/2026/tb/d6tb00052e
10.1021/jacs.6c00080,https://pubs.acs.org/doi/10.1021/jacs.6c00080
10.1021/acs.langmuir.5c06286,https://pubs.acs.org/doi/10.1021/acs.langmuir.5c06286
10.1016/j.biomaterials.2026.124145,https://linkinghub.elsevier.com/retrieve/pii/S0142961226001699
10.1038/s41565-025-02102-z,https://www.nature.com/articles/s41565-025-02102-z
10.1038/s41551-026-01640-8,https://www.nature.com/articles/s41551-026-01640-8
10.1002/smll.202511946,https://onlinelibrary.wiley.com/doi/10.1002/smll.202511946
10.64898/2026.03.02.708638,https://www.biorxiv.org/lookup/doi/10.64898/2026.03.02.708638
10.1038/s41563-026-02512-x,https://www.nature.com/articles/s41563-026-02512-x
10.1073/pnas.2519819123,https://pnas.org/doi/10.1073/pnas.2519819123
10.1016/j.jconrel.2026.114825,https://linkinghub.elsevier.com/retrieve/pii/S0168365926002270
10.1021/acs.nanolett.5c06525,https://pubs.acs.org/doi/10.1021/acs.nanolett.5c06525
10.1016/j.biomaterials.2026.124093,https://linkinghub.elsevier.com/retrieve/pii/S0142961226001171
10.1002/smll.202509742,https://onlinelibrary.wiley.com/doi/10.1002/smll.202509742
10.1038/s41587-026-03022-6,https://www.nature.com/articles/s41587-026-03022-6
10.1038/s41596-025-01325-7,https://www.nature.com/articles/s41596-025-01325-7
10.1021/acsnano.5c16693,https://pubs.acs.org/doi/10.1021/acsnano.5c16693
10.1016/j.jconrel.2026.114784,https://linkinghub.elsevier.com/retrieve/pii/S0168365926001860
10.1021/jacs.5c20438,https://pubs.acs.org/doi/10.1021/jacs.5c20438
